Time(s) 10ms_Kbps 20ms_Kbps 30ms_Kbps 40ms_Kbps 50ms_Kbps 100ms_Kbps
286 7865.05 3251.49 1851.95 2763.25 1965.31 751.45
287 6836.32 1935.92 2614.09 2246.15 2439.28 809.29
288 8432.53 2120.87 2569.24 1712.14 1437.9 613.17
289 7845.79 2959.22 3204.46 1331.61 1285.42 740.49
290 6871.06 4593.59 3538.38 1620.75 1411.69 727.6
291 13816.65 4903.32 2754.07 2014.07 1711.71 844.24
292 4390.28 3405.7 2948.69 1747.28 1932.16 901.87
293 6149.59 3353.38 3692.46 2347.43 2139.13 994.3
294 8099.56 2881.91 4452.36 2280.07 2011.86 1087.15
295 7451.75 2385.48 3737.36 1460.47 1318.87 1052.85
296 7185.1 3609.7 2764.86 1539.04 1469.34 1260.22
297 10835.19 3968.08 1932.38 1550.82 1597.5 904.21
298 8028.13 4430.12 1622.56 1954.43 2069.92 810.86
299 9368.05 4928.41 2455.33 2697.51 2624.36 879.22
300 6652.47 3273.51 2269.18 2116.3 2350.33 1017.9
